,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Willie White,0.469,8.2,16.4,-0.3,0.1,-0.035,6.0,1.3,3.2,0.419,0.435,0.7,3.3
Ralph Sampson,0.533,15.4,10.4,1.4,4.8,0.096,37.6,9.2,18.3,0.502,0.502,2.7,22.1
Rodney McCray,0.576,10.0,15.0,5.3,3.3,0.137,36.6,5.8,10.9,0.535,0.535,4.3,14.4
Hakeem Olajuwon,0.564,18.7,5.3,5.3,4.9,0.168,35.5,8.3,15.3,0.538,0.538,1.4,20.6
Lewis Lloyd,0.558,6.1,18.0,2.8,1.9,0.105,26.0,5.6,10.6,0.526,0.527,3.4,13.1
John Lucas,0.533,4.1,35.8,2.0,1.2,0.134,24.6,4.4,9.5,0.462,0.485,6.8,11.4
Lionel Hollins,0.508,5.0,26.2,0.7,1.9,0.062,24.4,3.1,6.8,0.461,0.464,5.2,7.6
Robert Reid,0.507,8.6,12.6,1.2,1.8,0.082,21.5,3.8,7.9,0.481,0.482,2.1,8.7
Mitchell Wiggins,0.516,8.3,10.2,1.7,1.8,0.107,19.2,3.9,8.0,0.484,0.489,1.5,9.0
Allen Leavell,0.487,3.9,24.4,0.1,0.5,0.051,12.8,2.1,5.0,0.421,0.44,2.4,5.4
Jim Petersen,0.549,11.5,4.8,-0.5,0.9,0.023,11.9,1.2,2.4,0.486,0.486,0.5,3.2
Phil Ford,0.401,5.2,23.5,0.0,0.2,0.033,11.6,0.6,1.9,0.298,0.298,2.4,1.8
Larry Micheaux,0.618,14.0,5.7,0.6,0.5,0.129,10.1,1.9,3.1,0.607,0.607,0.4,4.2
Craig Ehlo,0.529,7.4,18.0,0.0,0.2,0.057,4.2,0.8,1.5,0.493,0.493,0.6,1.9
Hank McDowell,0.506,9.3,8.6,0.0,0.1,0.069,3.9,0.6,1.2,0.476,0.476,0.3,1.4
Rolando Blackman,0.566,6.0,15.1,5.8,1.4,0.123,35.0,7.7,15.2,0.508,0.511,3.6,19.7
Mark Aguirre,0.563,10.1,15.3,5.3,1.9,0.128,33.7,9.9,19.6,0.506,0.515,3.1,25.7
Jay Vincent,0.545,15.8,9.7,4.0,2.6,0.123,32.2,6.9,14.4,0.479,0.479,2.1,18.2
Brad Davis,0.596,4.3,29.5,5.7,1.7,0.14,31.0,3.8,7.5,0.505,0.543,7.1,10.1
Sam Perkins,0.535,14.9,7.8,3.2,2.6,0.12,28.3,4.2,9.0,0.471,0.478,1.6,11.0
Derek Harper,0.564,5.1,21.7,2.9,2.4,0.116,27.0,4.0,7.7,0.52,0.536,4.4,9.6
Kurt Nimphius,0.504,11.6,11.4,1.3,2.0,0.079,24.5,2.4,5.3,0.452,0.452,2.2,6.1
Dale Ellis,0.514,10.3,6.2,1.3,1.1,0.088,18.3,3.8,8.4,0.454,0.489,0.8,9.3
Wallace Bryant,0.49,16.0,11.9,0.3,1.0,0.073,15.4,1.2,2.6,0.453,0.453,1.5,2.9
Charlie Sitton,0.433,11.2,11.1,-0.2,0.3,0.008,7.1,0.9,2.2,0.415,0.415,0.6,2.1
Howard Carter,0.192,2.6,7.3,-0.4,0.0,-0.309,6.0,0.4,2.1,0.174,0.174,0.4,0.8
Tom Sluby,0.543,4.5,15.2,0.1,0.1,0.052,4.9,1.0,1.9,0.517,0.517,0.5,2.4
Adrian Dantley,0.607,8.5,15.2,5.6,2.3,0.194,35.8,9.3,17.5,0.531,0.531,3.4,26.6
Darrell Griffith,0.512,6.4,14.2,-0.3,3.8,0.061,35.6,9.3,20.4,0.457,0.486,3.1,22.6
Mark Eaton,0.502,17.0,5.7,-1.3,6.7,0.093,34.3,3.7,8.2,0.449,0.449,1.5,9.7
